#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-12-19 09:32:40 EST     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03320000 GREEN RIVER AT LOCK 2 AT CALHOUN, KY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
USGS	03320000	569	1964-03-16 11:30:00	CST	Yes	BLM/ASC	USGS	33.88	72200	Fair	0.01	6.30	Submerged	MEAS
USGS	03320000	570	1964-03-18 10:35:00	CST	Yes	BLM/ASC	USGS	33.90	68400	Fair	-0.82	5.90	Submerged	MEAS
USGS	03320000	571	1964-03-23 09:30:00	CST	Yes	RLB	USGS	32.81	43900	Good	-0.02	1.50	Submerged	MEAS
USGS	03320000	572	1964-03-26 10:00:00	CST	Yes	RLB	USGS	31.57	39800	Good	-0.02	1.30	Submerged	MEAS
USGS	03320000	573	1964-04-02 09:30:00	CST	Yes	RLB	USGS	25.30	31500	Good	-0.09	1.10	Submerged	MEAS
USGS	03320000	574	1964-06-03 11:35:00	CDT	Yes	BLM	USGS	10.38	2150	Fair	0.00	0.90	DebrisModerate	MEAS
USGS	03320000	575	1964-07-06 13:50:00	CDT	Yes	BLM	USGS	9.78	1170	Fair	-0.01	1.30	DebrisModerate	MEAS
USGS	03320000	576	1964-08-05 08:45:00	CDT	Yes	BLM	USGS	9.78	1060	Fair	0.04	1.10	DebrisModerate	MEAS
USGS	03320000	577	1964-09-03 10:45:00	CDT	Yes	RLB	USGS	9.76	1220	Fair	0.00	1.30		MEAS
USGS	03320000	578	1964-09-30 10:30:00	CDT	Yes	RLB/BLM	USGS	12.66	10100	Good	0.02	1.00		MEAS
USGS	03320000	579	1964-11-06 09:30:00	CST	Yes	RLB	USGS	10.52	2360	Good	0.00	1.10		MEAS
USGS	03320000	580	1964-12-02 10:50:00	CST	Yes	BLM	USGS	12.77	9830	Good	0.06	1.00		MEAS
USGS	03320000	581	1965-01-07 09:30:00	CST	Yes	RLB	USGS	14.68	20400	Good	-0.05	1.30	Submerged	MEAS
USGS	03320000	582	1965-02-05 12:35:00	CST	Yes	BLM	USGS	11.27	4760	Fair	0.00	0.90		MEAS
USGS	03320000	583	1965-03-02 09:45:00	CST	Yes	BLM	USGS	19.01	31000	Good	0.06	2.10	Submerged	MEAS
USGS	03320000	584	1965-04-07 10:50:00	CST	Yes	BLM	USGS	28.05	43800	Good	-0.10	2.30	Submerged	MEAS
USGS	03320000	585	1965-05-03 15:20:00	CDT	Yes	BLM	USGS	11.35	4740	Fair	-0.02	1.10	DebrisLight	MEAS
USGS	03320000	586	1965-06-03 12:25:00	CDT	Yes	BLM	USGS	10.55	2410	Fair	0.00	1.30	Clear	MEAS
USGS	03320000	587	1965-07-08 13:15:00	CDT	Yes	BLM	USGS	11.17	4240	Fair	0.00	1.10	DebrisHeavy	MEAS
USGS	03320000	588	1965-08-02 13:25:00	CDT	Yes	BLM	USGS	9.86	1020	Fair	-0.01	1.30	DebrisHeavy	MEAS
USGS	03320000	589	1965-09-01 12:35:00	CDT	Yes	BLM	USGS	10.33	1890	Fair	-0.01	1.30	DebrisHeavy	MEAS
USGS	03320000	590	1965-10-05 10:20:00	CDT	Yes	RLB	USGS	10.94	3470	Good	0.00	1.50		MEAS
USGS	03320000	591	1965-11-03 09:05:00	CST	Yes	BLM	USGS	11.04	3160	Good	0.01	1.10	DebrisHeavy	MEAS
USGS	03320000	592	1965-12-02 11:45:00	CST	Yes	BLM	USGS	11.24	3740	Good	0.02	1.00	DebrisHeavy	MEAS
USGS	03320000	593	1966-01-06 12:00:00	CST	Yes	BLM	USGS	18.68	30500	Good	0.11	2.30	Submerged	MEAS
USGS	03320000	594	1966-02-09 10:05:00	CST	Yes	BLM	USGS	12.26	7910	Good	0.05	1.30	Clear	MEAS
USGS	03320000	595	1966-03-03 11:35:00	CST	Yes	BLM	USGS	12.92	10900	Good	0.00	1.00	Clear	MEAS
USGS	03320000	596	1966-04-06 09:25:00	CST	Yes	BLM	USGS	10.21	1780	Fair	0.00	1.30	DebrisLight	MEAS
USGS	03320000	597	1966-05-05 12:15:00	CDT	Yes	BLM	USGS	25.10	36400	Good	0.02	1.90	Submerged	MEAS
USGS	03320000	598	1966-06-09 10:00:00	CDT	Yes	RLB	USGS	10.60	2810	Fair	0.01	1.20		MEAS
USGS	03320000	599	1966-07-07 11:25:00	CDT	Yes	BLM	USGS	10.56	2530	Fair	0.00	1.10	DebrisModerate	MEAS
USGS	03320000	600	1966-08-03 13:10:00	CDT	Yes	BLM	USGS	10.03	1300	Poor	0.00	2.20	DebrisHeavy	MEAS
USGS	03320000	601	1966-10-05 09:40:00	CDT	Yes	BLM	USGS	11.33	4230	Good			DebrisLight	MEAS
USGS	03320000	602	1966-11-02 10:00:00	CST	Yes	BLM	USGS	11.62	5510	Fair			Unspecifed	MEAS
USGS	03320000	603	1966-12-02 08:15:00	CST	Yes	BLM	USGS	11.77	6060	Good			Unspecifed	MEAS
USGS	03320000	604	1967-01-05 08:55:00	CST	Yes	BLM	USGS	14.30	17500	Good			Unspecifed	MEAS
USGS	03320000	605	1967-01-31 10:00:00	CST	Yes	RLB	USGS		16400	Good			Unspecifed	MEAS
USGS	03320000	606	1967-04-05 11:30:00	CST	Yes	BLM	USGS	11.74	6000	Fair			Clear	MEAS
USGS	03320000	607	1967-05-02 07:25:00	CDT	Yes	BLM	USGS	15.84	26600	Good			Unspecifed	MEAS
USGS	03320000	608	1967-06-01 08:45:00	CDT	Yes	BLM	USGS	12.75	10100	Good			Unspecifed	MEAS
USGS	03320000	609	1967-07-06 10:30:00	CDT	Yes	BLM	USGS	14.26	17000	Fair			Unspecifed	MEAS
USGS	03320000	610	1967-08-02 09:45:00	CDT	Yes	BLM	USGS	14.80	19800	Fair			Unspecifed	MEAS
USGS	03320000	611	1967-09-07 08:10:00	CDT	Yes	BLM	USGS	10.19	1730	Poor			Unspecifed	MEAS
USGS	03320000	612	1967-10-03 11:35:00	CDT	Yes	GLH	USGS	10.59	2570	Fair			DebrisLight	MEAS
USGS	03320000	613	1967-10-31 11:15:00	CST	Yes	GLH	USGS	11.78	6030	Fair			Clear	MEAS
USGS	03320000	614	1967-12-05 09:30:00	CST	Yes	GLH	USGS	17.76	33500	Fair			Unspecifed	MEAS
USGS	03320000	615	1968-02-02 09:00:00	CST	Yes	BLM	USGS	14.41	18200	Fair			Unspecifed	MEAS
USGS	03320000	616	1968-03-04 11:30:00	CST	Yes	BLM	USGS	10.57	2550	Poor			Clear	MEAS
USGS	03320000	617	1968-04-02 11:30:00	CST	Yes	BLM	USGS	25.12	36000	Good			DebrisLight	MEAS
USGS	03320000	618	1968-05-08 08:45:00	CDT	Yes	RLB	USGS		4190	Good			Unspecifed	MEAS
USGS	03320000	619	1968-06-11 09:00:00	CDT	Yes	BLM	USGS	14.22	17100	Good			Unspecifed	MEAS
USGS	03320000	620	1968-07-03 09:40:00	CDT	Yes	GLH	USGS	11.22	4200	Fair			Unspecifed	MEAS
USGS	03320000	621	1968-08-05 11:25:00	CDT	Yes	BLM	USGS	10.49	2060	Poor			Clear	MEAS
USGS	03320000	622	1968-09-06 10:10:00	CDT	Yes	GLH	USGS	9.88	1140	Fair			Unspecifed	MEAS
USGS	03320000	623	1968-10-02 09:15:00	CDT	Yes	BLM	USGS	10.00	1280	Poor			DebrisHeavy	MEAS
USGS	03320000	624	1968-11-06 10:35:00	CST	Yes	GLH	USGS	11.40	5060	Good			Unspecifed	MEAS
USGS	03320000	625	1968-12-04 09:50:00	CST	Yes	BLM	USGS	12.89	10900	Good			Unspecifed	MEAS
USGS	03320000	626	1969-01-09 10:10:00	CST	Yes	GLH	USGS	11.03	3980	Fair			Unspecifed	MEAS
USGS	03320000	627	1969-02-05 09:25:00	CST	Yes	BLM	USGS	22.38	28000	Good			Unspecifed	MEAS
USGS	03320000	628	1969-03-03 11:00:00	CST	Yes	GLH	USGS	13.64	13300	Fair			Unspecifed	MEAS
USGS	03320000	629	1969-04-04 08:45:00	CST	Yes	BLM	USGS	12.50	9130	Good			DebrisLight	MEAS
USGS	03320000	630	1969-04-30 11:45:00	CDT	Yes	GLH	USGS	11.52	5760	Fair			Clear	MEAS
USGS	03320000	631	1969-06-03 10:40:00	CDT	Yes	BLM	USGS	10.52	2380	Fair			DebrisLight	MEAS
USGS	03320000	632	1969-06-30 10:50:00	CDT	Yes	GLH	USGS	23.15	42700	Fair			Unspecifed	MEAS
USGS	03320000	633	1969-07-30 11:45:00	CDT	Yes	GLH	USGS	11.27	4350	Fair			DebrisHeavy	MEAS
USGS	03320000	634	1969-09-05 08:30:00	CDT	Yes	BLM	USGS	10.64	2550	Fair			DebrisHeavy	MEAS
USGS	03320000	635	1969-10-02 09:15:00	CDT	Yes	GLH	USGS	10.35	1920	Poor			Unspecifed	MEAS
USGS	03320000	636	1969-12-02 10:50:00	CST	Yes	GLH	USGS	11.60	5000	Good			Unspecifed	MEAS
USGS	03320000	637	1970-01-05 11:25:00	CST	Yes	GLH	USGS	21.26	31100	Good			Unspecifed	MEAS
USGS	03320000	638	1970-02-13 08:45:00	CST	Yes	BLM	USGS	15.15	21900	Good			Unspecifed	MEAS
USGS	03320000	639	1970-03-03 14:30:00	CST	Yes	GLH	USGS	13.21	12600	Fair			Unspecifed	MEAS
USGS	03320000	640	1970-04-08 08:15:00	CST	Yes	BLM	USGS	26.52	36900	Good			DebrisHeavy	MEAS
USGS	03320000	641	1970-05-04 12:30:00	CDT	Yes	GLH	USGS	21.84	29500	Fair			Unspecifed	MEAS
USGS	03320000	642	1970-06-19 09:30:00	CDT	Yes	JHO	USGS	11.69	6400	Good			Unspecifed	MEAS
USGS	03320000	643	1970-07-17 11:40:00	CDT	Yes	GLH	USGS	10.08	1570	Fair			Unspecifed	MEAS
USGS	03320000	644	1970-08-27 08:05:00	CDT	Yes	BLM	USGS	10.52	2360	Fair			Unspecifed	MEAS
USGS	03320000	645	1970-09-15 08:00:00	CDT	Yes	BLM	USGS	10.49	2290	Fair			Unspecifed	MEAS
USGS	03320000	646	1970-10-29 08:40:00	CST	Yes	BLM	USGS	10.73	2790	Good			Unspecifed	MEAS
USGS	03320000	647	1970-12-02 09:20:00	CST	Yes	BLM	USGS	12.20	7820	Fair			Unspecifed	MEAS
USGS	03320000	648	1971-02-18 10:40:00	CST	Yes	BLM	USGS	18.49	28200	Good			Unspecifed	MEAS
USGS	03320000	649	1971-03-18 08:20:00	CST	Yes	BLM	USGS	13.21	11900	Good			Unspecifed	MEAS
USGS	03320000	650	1971-04-20 12:30:00	CST	Yes	BLM	USGS	10.81	3220	Fair			Clear	MEAS
USGS	03320000	651	1971-05-25 12:40:00	CDT	Yes	BLM	USGS	12.38	9140	Good			Unspecifed	MEAS
USGS	03320000	652	1971-08-05 08:35:00	CDT	Yes	BLM	USGS	14.24	16400	Good			Unspecifed	MEAS
USGS	03320000	653	1971-09-01 10:35:00	CDT	Yes	BLM	USGS	10.26	1700	Fair			Unspecifed	MEAS
USGS	03320000	654	1971-10-13 10:15:00	CDT	Yes	BLM	USGS	10.34	1990	Fair			Unspecifed	MEAS
USGS	03320000	655	1971-11-19 08:45:00	CST	Yes	BLM	USGS	11.45	4860	Good			Unspecifed	MEAS
USGS	03320000	656	1971-12-29 08:30:00	CST	Yes	BLM	USGS	11.27	4480	Good			Unspecifed	MEAS
USGS	03320000	657	1972-03-01 09:00:00	CST	Yes	BLM	USGS	27.00	44800	Good			Unspecifed	MEAS
USGS	03320000	658	1972-04-12 08:35:00	CST	Yes	BLM	USGS	14.95	19800	Good			Unspecifed	MEAS
USGS	03320000	659	1972-05-17 09:00:00	CDT	Yes	BLM	USGS	15.06	21800	Good			Unspecifed	MEAS
USGS	03320000	660	1972-06-21 11:00:00	CDT	Yes	BLM	USGS	10.36	2020	Fair			Unspecifed	MEAS
USGS	03320000	661	1972-07-27 11:05:00	CDT	Yes	BLM	USGS	9.96	1220	Poor			Unspecifed	MEAS
USGS	03320000	662	1972-08-28 14:00:00	CDT	Yes	BLM	USGS	9.96	1060	Fair			Unspecifed	MEAS
USGS	03320000	663	1972-10-11 08:45:00	CDT	Yes	BLM	USGS	10.86	3150	Fair			Unspecifed	MEAS
USGS	03320000	664	1972-11-15 08:45:00	CST	Yes	BLM	USGS	14.16	16300	Good			Unspecifed	MEAS
USGS	03320000	665	1972-12-13 08:30:00	CST	Yes	BLM	USGS	26.90	45600	Good			Unspecifed	MEAS
USGS	03320000	666	1973-01-17 10:35:00	CST	Yes	BLM	USGS	12.94	11000	Fair			Unspecifed	MEAS
USGS	03320000	667	1973-02-28 08:50:00	CST	Yes	GLH	USGS	11.99	7110	Fair			Unspecifed	MEAS
USGS	03320000	668	1973-04-04 08:45:00	CST	Yes	BLM	USGS	14.54	19000	Fair			Unspecifed	MEAS
USGS	03320000	669	1973-05-10 07:50:00	CDT	Yes	BLM	USGS	17.62	29000	Good			Unspecifed	MEAS
USGS	03320000	670	1973-06-18 12:50:00	CDT	Yes	BLM	USGS	12.61	9460	Fair			Unspecifed	MEAS
USGS	03320000	671	1973-07-17 08:40:00	CDT	Yes	BLM	USGS	11.87	6520	Good			Unspecifed	MEAS
USGS	03320000	672	1973-08-30 09:15:00	CDT	Yes	BLM	USGS	9.93	1240	Poor			DebrisLight	MEAS
USGS	03320000	673	1973-09-26 08:30:00	CDT	Yes	GLH	USGS	10.27	1540	Fair			Unspecifed	MEAS
USGS	03320000	674	1973-10-30 08:45:00	CST	Yes	GLH	USGS	11.20	3940	Good			Unspecifed	MEAS
USGS	03320000	675	1973-12-05 11:30:00	CST	Yes	GLH	USGS	25.10	39200	Fair			Unspecifed	MEAS
USGS	03320000	676	1974-01-15 10:45:00	CDT	Yes	GLH	USGS	21.90	54900	Fair			Unspecifed	MEAS
USGS	03320000	677	1974-03-01 09:40:00	CDT	Yes	GLH	USGS	14.14	16900	Good			Unspecifed	MEAS
USGS	03320000	678	1974-04-08 12:55:00	CDT	Yes	GLH	USGS	17.22	19500	Good			Unspecifed	MEAS
USGS	03320000	679	1974-05-22 08:53:00	CDT	Yes	SKR	USGS	11.92	6400	Fair			Unspecifed	MEAS
USGS	03320000	680	1974-07-26 08:55:00	CDT	Yes	BLM	USGS	11.75	5940	Fair			Clear	MEAS
USGS	03320000	681	1974-08-01 10:45:00	CDT	Yes	BLM	USGS	10.16	1530	Fair			Unspecifed	MEAS
USGS	03320000	682	1974-09-10 08:35:00	CDT	Yes	BLM	USGS	13.58	13600	Good			Clear	MEAS
USGS	03320000	683	1974-10-08 09:00:00	CDT	Yes	BLM	USGS	13.28	12500	Good			Unspecifed	MEAS
USGS	03320000	684	1974-11-12 09:00:00	CST	Yes	GLH	USGS	11.76	6820	Good			Unspecifed	MEAS
USGS	03320000	685	1974-12-17 08:30:00	CST	Yes	GLH	USGS	12.29	8330	Good			Unspecifed	MEAS
USGS	03320000	686	1975-04-24 11:00:00	CDT	Yes	GLH	USGS	14.38	16400	Poor			Unspecifed	MEAS
USGS	03320000	687	1975-05-21 10:30:00	CDT	Yes	GLH	USGS	30.72	62200	Good			Unspecifed	MEAS
USGS	03320000	688	1975-06-03 08:30:00	CDT	Yes	GLH	USGS	12.50	8400	Fair			Unspecifed	MEAS
USGS	03320000	689	1975-07-17 10:45:00	CDT	Yes	GLH	USGS	10.05	1400	Poor			DebrisHeavy	MEAS
USGS	03320000	690	1975-08-28 08:25:00	CDT	Yes	GLH	USGS	9.82	897	Poor			DebrisHeavy	MEAS
USGS	03320000	691	1975-10-04 07:45:00	CDT	Yes	GLH	USGS	10.84	2940	Fair			Unspecifed	MEAS
USGS	03320000	692	1975-11-14 10:30:00	CST	Yes	GLH	USGS	13.16	11500	Fair			Unspecifed	MEAS
USGS	03320000	693	1975-12-16 08:00:00	CST	Yes	BLM	USGS	13.20	12200	Good			Unspecifed	MEAS
USGS	03320000	694	1976-01-26 11:20:00	CST	Yes	GLH	USGS	16.25	29800	Fair			Unspecifed	MEAS
USGS	03320000	695	1976-03-08 11:07:00	CST	Yes	GLH	USGS	13.87	14900	Good			Unspecifed	MEAS
USGS	03320000	696	1976-04-20 08:00:00	CST	Yes	BLM	USGS	11.16	4200	Fair			Unspecifed	MEAS
USGS	03320000	697	1976-06-01 10:46:00	CDT	Yes	GLH	USGS	11.47	5190	Fair			Unspecifed	MEAS
USGS	03320000	698	1976-07-12 10:15:00	CDT	Yes	GLH	USGS	11.59	5760	Good			Unspecifed	MEAS
USGS	03320000	700	1976-10-06 11:10:00	CDT	Yes	GLH	USGS	10.26	1450	Fair			DebrisHeavy	MEAS
USGS	03320000	701	1976-11-18 08:00:00	CST	Yes	GLH	USGS	11.48	5390	Good			DebrisHeavy	MEAS
USGS	03320000	702	1977-01-04 11:30:00	CST	Yes	GLH	USGS	11.28	3940	Fair			Unspecifed	MEAS
USGS	03320000	703	1977-02-25 11:00:00	CST	Yes	GLH	USGS	13.98	15100	Fair			DebrisLight	MEAS
USGS	03320000	704	1977-04-07 07:45:00	CST	Yes	GLH	USGS	16.53	24300	Good			Unspecifed	MEAS
USGS	03320000	705	1977-05-16 10:57:00	CDT	Yes	GLH	USGS	13.10	11300	Good			Unspecifed	MEAS
USGS	03320000	706	1977-07-05 12:04:00	CDT	Yes	GLH	USGS	12.56	9140	Fair			Unspecifed	MEAS
USGS	03320000	707	1977-08-11 09:00:00	CDT	Yes	GLH	USGS	10.85	2900	Fair			Unspecifed	MEAS
USGS	03320000	708	1977-09-09 07:45:00	CDT	Yes	GLH	USGS	10.35	1600	Good			Unspecifed	MEAS
USGS	03320000	709	1977-10-06 09:30:00	CDT	Yes	GLH	USGS	13.74	14100	Good			Unspecifed	MEAS
USGS	03320000	710	1977-11-14 15:58:00	CST	Yes	GLH	USGS	13.04	10600	Good			Unspecifed	MEAS
USGS	03320000	711	1977-12-22 11:55:00	CST	Yes	GLH	USGS	16.62	23700	Good			Unspecifed	MEAS
USGS	03320000	712	1978-03-09 10:00:00	CST	Yes	GLH	USGS	16.22	29200	Fair			Clear	MEAS
USGS	03320000	713	1978-04-20 09:00:00	CST	Yes	GLH	USGS	11.65	6450	Fair			Clear	MEAS
USGS	03320000	714	1978-06-01 08:00:00	CDT	Yes	GLH	USGS	11.98	7410	Good			Clear	MEAS
USGS	03320000	715	1978-08-23 09:24:00	CDT	Yes	GLH	USGS	11.91	6450	Good			Unspecifed	MEAS
USGS	03320000	716	1978-10-05		Yes	GH	USGS	9.93	1520	Fair	0.00	0.80	DebrisLight	MEAS
USGS	03320000	717	1978-11-17		Yes	GH	USGS	12.15	7960	Poor	0.03	1.00	Clear	MEAS
USGS	03320000	718	1978-12-13		Yes	BLM	USGS	31.62	68600	Good	0.04	2.30		MEAS
USGS	03320000	719	1979-01-17		Yes	GLH	USGS	20.38	37200	Good	-0.01	1.40		MEAS
USGS	03320000	720	1979-02-21		Yes	GH	USGS	16.08	27800	Good	0.03	1.50	Clear	MEAS
USGS	03320000	721	1979-05-11		Yes	GH	USGS	14.18	17200	Good	-0.02	0.80	Clear	MEAS
USGS	03320000	722	1979-06-22		Yes	GH	USGS	10.52	2780	Fair	0.00	0.80	Clear	MEAS
USGS	03320000	723	1979-08-02		Yes	GH	USGS	13.76	15100	Good	-0.01	1.10	Clear	MEAS
USGS	03320000	724	1979-09-14		Yes	GH	USGS	16.43	30300	Fair	0.10	0.70		MEAS
USGS	03320000	725	1979-10-23		Yes	GH	USGS	14.56	19300	Good	0.00	0.80	Clear	MEAS
USGS	03320000	726	1980-01-16		Yes	GH	USGS	14.82	20800	Good	-0.01	1.00		MEAS
USGS	03320000	727	1980-02-29		Yes	GH	USGS	12.44	8900	Good	-0.01	0.90	Clear	MEAS
USGS	03320000	728	1980-04-10		Yes	GH	USGS	12.90	10100	Fair	-0.01	1.00	Clear	MEAS
USGS	03320000	729	1980-06-05		Yes	GH	USGS	11.70	5980	Good	-0.01	1.00	Clear	MEAS
USGS	03320000	731	1980-07-28		Yes	GH	USGS	9.89	1070	Good	0.00	1.00	DebrisModerate	MEAS
USGS	03320000	730	1980-07-31		Yes	GH	USGS	11.00	3640	Good	-0.01	1.00	DebrisModerate	MEAS
USGS	03320000	732	1980-10-09		Yes	GH	USGS	10.53	2110	Fair	0.00	0.80	DebrisModerate	MEAS
USGS	03320000	733	1980-11-14		Yes	GH	USGS	11.24	4210	Good	0.01	0.80	DebrisHeavy	MEAS
