. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-12-19 09:30:50 EST     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03319885 GREEN RIVER AT LIVERMORE, KY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
USGS	03319885	44	1930-04-18 08:30:00	CST	Yes	OC/KeL	USGS	4.42	3240	Good	0.00	1.50		MEAS
USGS	03319885	45	1930-04-19 06:30:00	CST	Yes	OC/Kel	USGS	4.39	2960	Good	0.00	1.40		MEAS
USGS	03319885	46	1930-04-21 08:50:00	CST	Yes	OC/Kel	USGS	4.29	2720	Good	0.00	1.70		MEAS
USGS	03319885	47	1930-04-22 15:00:00	CST	Yes	OC/Kel	USGS	4.21	2440	Fair	0.00	1.50		MEAS
USGS	03319885	48	1930-04-23 14:15:00	CST	Yes	OC/Kel	USGS	4.16	2350	Good	0.00	1.70		MEAS
USGS	03319885	49	1930-04-24 15:50:00	CST	Yes	OC/Kel	USGS	4.10	2300	Good	0.00	1.60		MEAS
USGS	03319885	50	1930-05-23 14:15:00	CDT	Yes	OC/Stp	USGS	7.47	15000	Poor	-0.02	2.00		MEAS
USGS	03319885	51	1930-05-24 08:45:00	CDT	Yes	OC/Stp	USGS	6.12	9100	Fair	-0.14	2.20		MEAS
USGS	03319885	52	1930-07-27 15:05:00	CDT	Yes	LeM/Cra	USGS	3.65	528	Fair	0.00	2.10	Clear	MEAS
USGS	03319885	53	1930-08-03 12:25:00	CDT	Yes	Cra/LeM	USGS	3.51	364	Good	0.00	3.30	Clear	MEAS
USGS	03319885	54	1930-08-08 16:30:00	CDT	Yes	OC/Adm	USGS	8.05	340	Good	0.00	1.00	Clear	MEAS
USGS	03319885	55	1930-08-11 08:00:00	CDT	Yes	OC/Adm	USGS	3.45	275	Good	0.00	1.00	Clear	MEAS
USGS	03319885	56	1930-08-15 12:30:00	CDT	Yes	OC/AdM	USGS	3.50	277	Good	0.00	2.00	Clear	MEAS
USGS	03319885	57	1930-08-20 12:40:00	CDT	Yes	OC/Adm	USGS	4.05	1020	Fair			Clear	MEAS
USGS	03319885	58	1930-08-29 15:00:00	CDT	Yes	OC/Adm	USGS	5.58	396	Good	0.00	1.50	Clear	MEAS
USGS	03319885	59	1930-09-13 13:30:00	CDT	Yes	OC/Adm	USGS	3.55	249	Good	0.00	2.00	Clear	MEAS
USGS	03319885	60	1930-09-18 12:25:00	CDT	Yes	LeM/Cro	USGS	4.13	1500	Good	0.01	2.00	Clear	MEAS
USGS	03319885	61	1930-10-10 14:10:00	CST	Yes	OC/Adm	USGS	3.52	258	Poor	0.00	2.10	DebrisModerate	MEAS
USGS	03319885	62	1931-01-22 08:50:00	CST	Yes	OC/Adm	USGS	4.40	1210	Poor	0.00	2.70	DebrisModerate	MEAS
USGS	03319885	63	1931-01-24 08:10:00	CST	Yes	OC/Adm	USGS	4.43	1390	Poor	0.00	2.30	DebrisModerate	MEAS
USGS	03319885	64	1931-01-26 09:00:00	CST	Yes	OC/Adm	USGS	4.23	1420	Poor	0.01	2.90		MEAS
USGS	03319885	65	1931-01-26 13:00:00	CST	Yes	OC/Adm	USGS	4.20	1310	Poor	-0.03	2.20		MEAS
USGS	03319885	66	1931-02-12 13:55:00	CST	Yes	LeM/Mix	USGS	6.01	8070	Fair	-0.01	2.10		MEAS
USGS	03319885	67	1931-02-13 13:30:00	CST	Yes	LeM/Mix	USGS	5.76	6630	Good	0.02	2.00		MEAS
USGS	03319885	68	1931-02-17 09:00:00	CST	Yes	LeM/Mix	USGS	6.09	8550	Good	0.00	2.30		MEAS
USGS	03319885	69	1931-03-12 08:45:00	CST	Yes	LeM/Adm	USGS	7.74	15500	Good	-0.09	2.10		MEAS
USGS	03319885	70	1931-03-13 09:25:00	CST	Yes	LeM/Adm	USGS	6.73	11600	Good	-0.09	2.50		MEAS
USGS	03319885	71	1931-03-30 13:00:00	CST	Yes	Adm/OC	USGS	10.14	26000	Poor	0.14	3.00	DebrisHeavy	MEAS
USGS	03319885	72	1931-04-01 15:45:00	CST	Yes	LeM/Adm	USGS	10.19	26800	Poor	-0.10	2.90		MEAS
USGS	03319885	73	1931-04-02 09:25:00	CST	Yes	LeM/Adm	USGS	9.17	22200	Poor	-0.22	3.50		MEAS
USGS	03319885	74	1931-04-02 14:30:00	CST	Yes	LeM/Adm	USGS	8.98	21100	Poor	-0.10	2.60		MEAS
USGS	03319885	75	1931-04-03 08:15:00	CST	Yes	LeM/Adm	USGS	8.26	18300	Fair	-0.09	2.50		MEAS
USGS	03319885	76	1931-04-04 08:05:00	CST	Yes	LeM/Adm	USGS	8.07	17100	Fair	0.00	2.30		MEAS
USGS	03319885	77	1931-04-05 12:25:00	CST	Yes	Edw/OC	USGS	7.80	15500	Good	0.00	2.10	DebrisLight	MEAS
USGS	03319885	78	1931-04-25 07:30:00	CST	Yes	Adm/Edw	USGS	8.44	19200	Good	0.02	3.50		MEAS
USGS	03319885	79	1931-04-27 14:55:00	CDT	Yes	Adm/Edw	USGS	10.87	28000	Poor	0.01	3.10	DebrisHeavy	MEAS
USGS	03319885	80	1931-04-28 13:40:00	CDT	Yes	Adm/OC	USGS	10.73	27500	Good	-0.03	2.50		MEAS
USGS	03319885	81	1931-04-30 09:00:00	CDT	Yes	OC/Adm	USGS	9.12	20800	Good	-0.10	2.40		MEAS
USGS	03319885	82	1931-05-27 14:55:00	CDT	Yes	Adm/Blr	USGS	4.19	2390	Good	0.00	2.30		MEAS
USGS	03319885	83	1931-05-28 15:20:00	CDT	Yes	Adm/Blr	USGS	4.21	2520	Poor	0.00	2.30		MEAS
USGS	03319885	84	1931-07-10 11:00:00	CDT	Yes	Adm/Mit	USGS	3.70	1180	Good	0.00	1.70		MEAS
USGS	03319885	85	1931-07-11 15:25:00	CDT	Yes	Mit/Adm	USGS	3.65	1080	Fair	-0.03	1.30		MEAS
USGS	03319885	86	1931-09-28 13:30:00	CST	Yes	Adm	USGS	4.16	1820	Good	0.02	1.50		MEAS
USGS	03319885	87	1931-09-29 12:00:00	CST	Yes	Adm	USGS	4.25	2030	Good	0.00	1.80		MEAS
USGS	03319885	88	1931-10-15 13:30:00	CST	Yes	Adm	USGS	3.75	820	Good	0.00	1.50		MEAS
USGS	03319885	89	1931-10-16 13:00:00	CST	Yes	Adm	USGS	3.95	1120	Good	0.03	1.50		MEAS
USGS	03319885	90	1931-11-11 14:30:00	CST	Yes	Adm	USGS	3.53	590	Poor	-0.01	1.80		MEAS
USGS	03319885	91	1931-11-12 14:30:00	CST	Yes	Adm	USGS	3.50	587	Poor	0.00	1.20		MEAS
USGS	03319885	92	1931-12-04 13:40:00	CST	Yes	Adm	USGS	6.20	8850	Fair	-0.04	2.00		MEAS
USGS	03319885	93	1931-12-05 13:30:00	CST	Yes	Adm	USGS	5.68	6980	Good	-0.03	2.50		MEAS
USGS	03319885	94	1931-12-12 08:35:00	CST	Yes	Adm	USGS	8.03	17400	Good	0.02	2.70		MEAS
USGS	03319885	95	1931-12-17 10:45:00	CST	Yes	Adm/Hub	USGS	18.56	46500	Fair	0.21	4.80	DebrisHeavy	MEAS
USGS	03319885	96	1931-12-19 10:10:00	CST	Yes	Adm/Hub	USGS	19.97	45100	Good	0.00	1.50	Submerged	MEAS
USGS	03319885	97	1931-12-21 10:55:00	CST	Yes	Adm/Hub	USGS	17.51	32700	Good	-0.17	1.60		MEAS
USGS	03319885	98	1931-12-22 09:00:00	CST	Yes	Adm/Hub	USGS	14.67	24800	Good	-0.19	1.30		MEAS
USGS	03319885	99	1931-12-22 13:15:00	CST	Yes	Adm/Hub	USGS	14.12	24000	Good	-0.15	1.10		MEAS
USGS	03319885	100	1931-12-23 07:25:00	CST	Yes	Adm/Hub	USGS	12.40	23600	Good	-0.06	1.00		MEAS
USGS	03319885	101	1932-01-06 10:10:00	CST	Yes	Adm/Hub	USGS	7.18	13700	Good	0.17	1.80		MEAS
USGS	03319885	102	1932-01-07 07:45:00	CST	Yes	Adm/HuB	USGS	8.77	20100	Fair	0.20	3.60		MEAS
USGS	03319885	103	1932-01-18 14:00:00	CST	Yes	Adm/Hub	USGS	23.20	49200	Good	0.05	1.60		MEAS
USGS	03319885	104	1932-01-19 09:30:00	CST	Yes	Adm/Stp	USGS	24.01	51900	Good	0.04	1.50	Submerged	MEAS
USGS	03319885	105	1932-01-20 08:20:00	CST	Yes	Hub/Stp	USGS	24.66	54100	Good	0.01	1.20	Submerged	MEAS
USGS	03319885	106	1932-01-21 08:20:00	CST	Yes	Adm/Hub	USGS	24.80	51800	Good	0.00	1.30	Submerged	MEAS
USGS	03319885	107	1932-01-22 08:15:00	CST	Yes	Adm/Mit	USGS	24.57	48800	Good	-0.03	1.50	Submerged	MEAS
USGS	03319885	108	1932-01-22 13:35:00	CST	Yes	Hub/Stp	USGS	24.41	46900	Fair	-0.08	3.60	Submerged	MEAS
USGS	03319885	109	1932-01-23 07:50:00	CST	Yes	Adm/Hub	USGS	24.11	44900	Good	-0.03	2.00	Submerged	MEAS
USGS	03319885	110	1932-01-24 08:10:00	CST	Yes	Adm/Stp	USGS	23.96	46800	Good	-0.02	1.00	Submerged	MEAS
USGS	03319885	111	1932-01-25 14:00:00	CST	Yes	Adm/Hub	USGS	24.08	47100	Good	0.00	2.10		MEAS
USGS	03319885	112	1932-01-26 08:00:00	CST	Yes	Adm/Hub	USGS	24.24	50600	Fair	0.00	2.50	Submerged	MEAS
USGS	03319885	113	1932-01-27 07:30:00	CST	Yes	Adm/Stp	USGS	24.58	51400	Fair	0.04	2.30		MEAS
USGS	03319885	114	1932-01-28 08:20:00	CST	Yes	Adm/Hub	USGS	24.86	51800	Unspecified	0.07	6.70	Submerged	MEAS
USGS	03319885	115	1932-01-29 07:45:00	CST	Yes	Adm/Hub	USGS	25.17	55300	Fair	0.14	7.50	Submerged	MEAS
USGS	03319885	116	1932-01-30 09:00:00	CST	Yes	Adm/Hub	USGS	25.73	56000	Fair	0.13	3.80	Submerged	MEAS
USGS	03319885	117	1932-01-31 08:15:00	CST	Yes	Adm/Hub	USGS	26.10	60200	Fair	0.08	4.00	Submerged	MEAS
USGS	03319885	118	1932-02-01 07:40:00	CST	Yes	Adm/Hub	USGS	26.48	62500	Fair	0.15	2.50	Submerged	MEAS
USGS	03319885	119	1932-02-02 08:30:00	CST	Yes	Adm/Hub	USGS	26.89	65800	Fair	0.20	1.70	Submerged	MEAS
USGS	03319885	120	1932-02-03 08:30:00	CST	Yes	Mit/Stp	USGS	27.48	68800	Fair	0.21	8.00	Submerged	MEAS
USGS	03319885	121	1932-02-06 07:30:00	CST	Yes	Hou/Bel	USGS	28.43	81300	Poor	0.00	8.80	Submerged	MEAS
USGS	03319885	122	1932-02-07 07:45:00	CST	Yes	Hou/Stp	USGS	28.42	77600	Unspecified	-0.01	8.20	Submerged	MEAS
USGS	03319885	123	1932-02-08 08:00:00	CST	Yes	Hou/Bel	USGS	28.31	74700	Fair	-0.05	8.30	Submerged	MEAS
USGS	03319885	124	1932-02-09 09:00:00	CST	Yes	Mit/Hub	USGS	28.09	65500	Good	-0.12	8.20	Submerged	MEAS
USGS	03319885	125	1932-02-10 08:00:00	CST	Yes	Mit/Stp	USGS	27.77	60400	Unspecified	-0.11	8.60	Submerged	MEAS
USGS	03319885	126	1932-02-11 08:45:00	CST	Yes	Mit/Hub	USGS	27.26	53800	Unspecified	-0.16	7.80	Submerged	MEAS
USGS	03319885	127	1932-02-12 08:45:00	CST	Yes	Stp/Adm	USGS	26.67	47700	Fair	-0.16	7.80		MEAS
USGS	03319885	128	1932-02-13 07:30:00	CST	Yes	Stp/Adm	USGS	25.98	39900	Unspecified	-0.18	8.00		MEAS
USGS	03319885	129	1932-02-14 07:30:00	CST	Yes	Stp/Adm	USGS	25.21	36800	Good	-0.13	3.50		MEAS
USGS	03319885	130	1932-02-15 07:30:00	CST	Yes	Stp/Adm	USGS	24.37	33600	Unspecified	-0.11	2.00		MEAS
USGS	03319885	131	1932-02-16 07:30:00	CST	Yes	Stp/Adm	USGS	23.22	29600	Good	-0.18	2.20		MEAS
USGS	03319885	132	1932-02-17 07:15:00	CST	Yes	Stp/Adm	USGS	22.48	28200	Fair	-0.15	2.60		MEAS
USGS	03319885	133	1932-02-18 07:30:00	CST	Yes	Stp/Adm	USGS	21.18	27600	Good	-0.16	1.80		MEAS
USGS	03319885	134	1932-02-19 07:20:00	CST	Yes	Stp/Adm	USGS	19.65	27100	Good	-0.15	1.70		MEAS
USGS	03319885	135	1932-02-20 07:20:00	CST	Yes	Stp/Adm	USGS	17.68	25900	Good	-0.22	3.30		MEAS
USGS	03319885	136	1932-02-21 13:00:00	CST	Yes	Stp/Adm	USGS	14.57	22400	Good	-0.16	1.50		MEAS
USGS	03319885	137	1932-02-22 13:40:00	CST	Yes	Stp/Adm	USGS	12.07	20700	Good	-0.15	1.20		MEAS
USGS	03319885	138	1932-02-23 07:30:00	CST	Yes	Stp/Adm	USGS	10.43	20500	Good	-0.12	1.50		MEAS
USGS	03319885	139	1932-02-24 07:15:00	CST	Yes	Stp/Adm	USGS	9.26	20300	Good	-0.05	1.20		MEAS
USGS	03319885	140	1932-02-26 14:00:00	CST	Yes	Adm/Hub	USGS	7.09	13200	Good	-0.07	1.70		MEAS
USGS	03319885	141	1932-03-07 14:30:00	CST	Yes	Stp/Adm	USGS	8.26	10100	Good	-0.02	2.50		MEAS
USGS	03319885	142	1932-03-10 11:00:00	CST	Yes	Stp/Adm	USGS	5.34	6460	Good	-0.03	1.80		MEAS
USGS	03319885	143	1932-03-12 08:50:00	CST	Yes	Stp/Adm	USGS	5.03	5240	Good	-0.02	2.70		MEAS
USGS	03319885	144	1932-03-14 09:00:00	CST	Yes	Stp/Adm	USGS	4.79	4490	Poor	-0.02	3.00		MEAS
USGS	03319885	145	1932-03-16 09:00:00	CST	Yes	Adm/Stp	USGS	4.73	4030	Fair	-0.01	1.50		MEAS
USGS	03319885	146	1932-03-17 10:00:00	CST	Yes	Stp/Adm	USGS	5.87	7250	Good	0.10	2.00		MEAS
USGS	03319885	147	1932-03-19 13:00:00	CST	Yes	Stp/Adm	USGS	6.05	9440	Good	0.00	2.00		MEAS
USGS	03319885	148	1932-03-21 08:00:00	CST	Yes	Stp/AdM	USGS	5.74	8180	Good	-0.03	2.00		MEAS
USGS	03319885	149	1932-03-22 14:00:00	CST	Yes	Stp/Adm	USGS	5.46	6900	Good	0.00	2.00		MEAS
USGS	03319885	150	1932-04-16 13:00:00	CST	Yes	AdM	USGS	5.62	7640	Good	-0.03	2.10		MEAS
USGS	03319885	151	1932-04-19 07:55:00	CST	Yes	Adm	USGS	5.17	5980	Good	-0.02	2.00		MEAS
USGS	03319885	152	1932-05-19 17:00:00	CDT	Yes	Adm	USGS	4.38	3040	Good	-0.01	1.50		MEAS
USGS	03319885	153	1932-06-02 18:10:00	CDT	Yes	Adm	USGS	3.98	2150	Good	0.00	1.20		MEAS
USGS	03319885	154	1932-06-04 10:00:00	CDT	Yes	Adm	USGS	4.46	3360	Good	-0.02	1.80		MEAS
USGS	03319885	155	1932-06-20 15:00:00	CDT	Yes	Adm	USGS	6.27	10700	Good	0.00	1.80		MEAS
USGS	03319885	156	1932-06-21 08:50:00	CDT	Yes	Adm	USGS	6.53	11500	Good	0.05	1.80		MEAS
USGS	03319885	157	1932-07-26 18:50:00	CDT	Yes	Adm	USGS	3.85	1510	Good	-0.01	1.00		MEAS
USGS	03319885	158	1932-07-27 10:00:00	CDT	Yes	Adm	USGS	3.79	1490	Good	-0.01	1.20		MEAS
USGS	03319885	159	1932-08-09 15:30:00	CDT	Yes	Adm	USGS	3.34	820	Good	-0.02	1.80		MEAS
USGS	03319885	160	1932-08-10 11:00:00	CDT	Yes	Adm	USGS	3.29	780	Good	-0.04	2.00		MEAS
USGS	03319885	161	1932-09-13 16:15:00	CDT	Yes	Adm/Mix	USGS	3.18	670	Good	0.00	2.50		MEAS
USGS	03319885	162	1932-09-15 08:25:00	CDT	Yes	Adm/MiX	USGS	3.07	630	Good	-0.01	2.10		MEAS
USGS	03319885	163	1932-09-29 17:05:00	CST	Yes	WDM	USGS	4.09	2030	Poor	0.04	1.60		MEAS
USGS	03319885	164	1932-10-13 09:00:00	CST	Yes	Adm/MiX	USGS	3.57	1060	Good	0.00	2.70		MEAS
USGS	03319885	165	1932-11-09 13:20:00	CST	Yes	Adm/MiX	USGS	4.30	2580	Good	0.01	2.50		MEAS
USGS	03319885	166	1933-01-03 12:35:00	CST	Yes	Adm/MiX	USGS	17.79	38200	Good	0.10	2.40		MEAS
USGS	03319885	167	1933-01-06 09:05:00	CST	Yes	Adm/MiX	USGS	15.38	26000	Good	-0.36	2.80		MEAS
USGS	03319885	168	1933-01-11 11:15:00	CST	Yes	Adm/MiX	USGS	6.80	12000	Good	0.10	2.40		MEAS
USGS	03319885	169	1933-01-30 09:00:00	CST	Yes	Adm/Con	USGS	25.30	56100	Good	0.03	3.80	Submerged	MEAS
USGS	03319885	170	1933-01-31 09:10:00	CST	Yes	Adm/Con	USGS	25.30	55100	Good	-0.03	3.10	Submerged	MEAS
USGS	03319885	171	1933-02-28 08:50:00	CST	Yes	Adm/Hug	USGS	21.69	46100	Good	-0.07	3.00		MEAS
USGS	03319885	172	1933-05-03 11:50:00	CDT	Yes	Adm	USGS	5.58	7610	Good	0.01	2.10		MEAS
USGS	03319885	173	1933-06-01 17:30:00	CDT	Yes	Adm	USGS	4.97	5420	Good	-0.05	2.00		MEAS
USGS	03319885	174	1933-06-02 09:50:00	CDT	Yes	Adm	USGS	4.74	4800	Good	-0.02	2.30		MEAS
USGS	03319885	175	1933-06-08 14:30:00	CDT	Yes	Adm/HOL	USGS	4.01	2460	Good	-0.02	2.00		MEAS
USGS	03319885	176	1933-10-10 14:20:00	CST	Yes	Adm	USGS	3.82	860	Good	0.00	1.30		MEAS
USGS	03319885	177	1933-10-27 10:00:00	CST	Yes	Adm/Hol	USGS	4.58	3070	Good	-0.05	2.10		MEAS
USGS	03319885	178	1933-10-31 12:15:00	CST	Yes	Adm/Hol	USGS	3.99	1300	Good	0.00	2.00		MEAS
USGS	03319885	179	1934-01-04 14:30:00	CST	Yes	Adm/Wod	USGS	5.27	5490	Good	0.05	1.80		MEAS
USGS	03319885	180	1934-02-06 09:50:00	CST	Yes	Adm/Wod	USGS	4.37	2470	Good	0.00	1.50		MEAS
USGS	03319885	181	1934-02-07 13:40:00	CST	Yes	Adm/Wod	USGS	4.34	2390	Good	0.00	2.10		MEAS
USGS	03319885	182	1934-03-15 09:15:00	CST	Yes	Adm/Wod	USGS	21.18	38800	Good	-0.14	2.70		MEAS
USGS	03319885	183	1934-04-23 15:15:00	CST	Yes	Adm/Fnk	USGS	4.58	3210	Good	0.00	2.10		MEAS
USGS	03319885	184	1934-05-24 12:45:00	CDT	Yes	Adm/Liv	USGS	4.07	1720	Fair	-0.01	1.60		MEAS
USGS	03319885	185	1934-07-10 11:10:00	CDT	Yes	Adm/Sel	USGS	4.10	1820	Good	0.00	2.50		MEAS
USGS	03319885	186	1934-10-12 09:50:00	CST	Yes	Adm/Rce	USGS	3.84	980	Good	0.00	1.10		MEAS
USGS	03319885	187	1935-01-10 11:35:00	CST	Yes	Adm/Mix	USGS	4.98	4240	Good	-0.01	1.90		MEAS
USGS	03319885	188	1935-01-26 10:20:00	CST	Yes	Adm/Mix	USGS	24.87	58700	Good	0.17	2.90	Submerged	MEAS
USGS	03319885	189	1935-02-18 09:30:00	CST	Yes	Adm/Pnt	USGS	10.69	28400	Good	-0.02	2.20		MEAS
USGS	03319885	190	1935-03-18 10:00:00	CST	Yes	Adm/Pnt	USGS	27.59	66900	Fair	0.08	6.30	Submerged	MEAS
USGS	03319885	191	1935-04-10 08:00:00	CST	Yes	Adm/Pnt	USGS	28.58	73900	Fair	0.01	8.80	Submerged	MEAS
USGS	03319885	192	1935-04-11 07:20:00	CST	Yes	Adm/Pnt	USGS	28.68	73900	Good	0.03	7.90	Submerged	MEAS
USGS	03319885	193	1935-04-12 07:35:00	CST	Yes	Adm	USGS	28.76	72700	Good	0.00	8.80	Submerged	MEAS
USGS	03319885	194	1935-04-13 07:30:00	CST	Yes	Adm	USGS	28.75	74500	Good	-0.02	7.60	Submerged	MEAS
USGS	03319885	195	1935-04-15 07:00:00	CST	Yes	Adm	USGS	28.43	64000	Good	-0.08	7.50	Submerged	MEAS
USGS	03319885	196	1935-06-27 10:35:00	CDT	Yes	WDM/DH	USGS	25.55	56100	Poor	0.01	3.70	Submerged	MEAS
USGS	03319885	197	1935-07-18 11:40:00	CDT	Yes	Adm/OC	USGS	4.28	2310	Good	0.00	2.20		MEAS
USGS	03319885	198	1935-09-19 16:00:00	CDT	Yes	Adm/OC	USGS	4.04	1590	Good	0.00	1.20		MEAS
USGS	03319885	199	1935-09-20 10:00:00	CDT	Yes	Adm/OC	USGS	3.98	1610	Good	-0.01	1.20		MEAS
USGS	03319885	200	1935-12-10 09:05:00	CST	Yes	Adm/FlO	USGS	6.82	12200	Good	0.00	2.70		MEAS
USGS	03319885	201	1936-06-24 16:20:00	CST	Yes	Adm/OC	USGS	3.54	610	Good	0.00	1.30		MEAS
USGS	03319885	202	1936-06-25 10:30:00	CST	Yes	Adm/OC	USGS	3.54	560	Good	0.00	1.30		MEAS
USGS	03319885	203	1936-08-14 09:35:00	CST	Yes	WDM/CPP	USGS	3.78	1060	Unspecified	-0.01	3.30		MEAS
USGS	03319885	204	1937-01-29 12:50:00	CST	Yes	Adm/Rya	USGS	38.20	186000	Poor	0.00	2.20	Submerged	BYPS
USGS	03319885	205	1937-01-30 07:40:00	CST	Yes	Adm/Rya	USGS	38.21	172000	Poor			Submerged	BYPS
USGS	03319885	206	1937-01-31 09:00:00	CST	Yes	Adm	USGS	38.14	153000	Fair	-0.04	2.30	Submerged	BYPS
USGS	03319885	207	1937-02-01 07:45:00	CST	Yes	Adm/Rya	USGS	37.77	137000	Poor	-0.09	8.00	Submerged	BYPS
USGS	03319885	208	1937-02-02 08:00:00	CST	Yes	Adm/Rya	USGS	37.30	125000	Poor	-0.16	6.80	Submerged	BYPS
USGS	03319885	209	1937-02-03 08:25:00	CST	Yes	Adm/Rya	USGS	36.78	109000	Poor	-0.09	4.00	Submerged	BYPS
USGS	03319885	210	1937-02-04 07:50:00	CST	Yes	Adm/Rya	USGS	36.26	94200	Poor	-0.03	3.80	Submerged	BYPS
USGS	03319885	211	1937-02-05 08:50:00	CST	Yes	Adm/CPP	USGS	35.60	74800	Poor	-0.12	4.50	Submerged	MEAS
USGS	03319885	212	1937-02-06 08:15:00	CST	Yes	Adm/CPP	USGS	34.92	69900	Poor	-0.10	3.80	Submerged	MEAS
USGS	03319885	213	1937-02-08 07:30:00	CST	Yes	CPP	USGS	33.52	49900	Poor	-0.18	7.60	Submerged	MEAS
USGS	03319885	214	1937-02-09 07:50:00	CST	Yes	Adm/CPP	USGS	32.85	47500	Good	-0.26	8.00	Submerged	MEAS
USGS	03319885	215	1937-02-11 09:15:00	CST	Yes	Adm/CPP	USGS	31.24	41700	Fair	-0.18	7.40	Submerged	MEAS
USGS	03319885	216	1937-02-12 08:00:00	CST	Yes	Adm/CPP	USGS	30.68	40400	Fair	-0.14	4.30	Submerged	MEAS
USGS	03319885	217	1937-04-10 11:40:00	CST	Yes	Adm/Wm	USGS	5.20	5330	Good	-0.04	1.20		MEAS
USGS	03319885	218	1937-10-13 15:20:00	CST	Yes	Kef	USGS	3.84	1070	Fair	0.01	1.70	Clear	MEAS
USGS	03319885	219	1937-10-27 11:05:00	CST	Yes	Wm/Bur	USGS	4.21	2050	Good	0.00	1.00		MEAS
USGS	03319885	220	1938-03-20 11:15:00	CST	Yes	Bur/Wms	USGS	20.13	38400	Good	-0.08	3.00		MEAS
USGS	03319885	221	1938-03-21 09:30:00	CST	Yes	Bur/Wms	USGS	19.12	32800	Good	-0.18	3.00		MEAS
